,0,nt
0,"Millions of people throughout the world rejoice for five days during Diwali, also known as the Festival of Lights or Deepavali. The Hindu month of Kartik, which usually falls between October and November, is when it occurs. The dates for this year's Diwali are October 23, 2022, through October 27, 2022. However, October 24, 2022, will be the event's largest day. The central message of Diwali is that light triumphs over darkness and good over evil. Due to this, lighting up their life with fireworks, candles, and lanterns is another aspect of the Diwali celebration. In addition, people decorate their homes with colour by making elaborate designs known as rangolis out of coloured powder, rice, and flowers.


Have a blessed and beautiful Diwali full of celebrations, festivities and feasts with your near and dear ones

#happydiwali #people #event #festival #celebration #india #experience #lifeatkpr #kpriet #diwali
…see more","Millions of people throughout the world rejoice for five days during Diwali, also known as the Festival of Lights or Deepavali. The Hindu month of Kartik, which usually falls between October and November, is when it occurs. The dates for this year's Diwali are October 23, 2022, through October 27, 2022. However, October 24, 2022, will be the event's largest day. The central message of Diwali is that light triumphs over darkness and good over evil. Due to this, lighting up their life with fireworks, candles, and lanterns is another aspect of the Diwali celebration. In addition, people decorate their homes with colour by making elaborate designs known as rangolis out of coloured powder, rice, and flowers.


Have a blessed and beautiful Diwali full of celebrations, festivities and feasts with your near and dear ones

#happydiwali #people #event #festival #celebration #india #experience #lifeatkpr #kpriet #diwali
…see more"
1,"""Teaching is not about information. It's about having an honest intellectual relationship with your students"".

Happy to share ❤️😊 memories along with my squad and my Mentees...

#kpr
#kprietians
#kpriet
#mentees
#mentor
#students
#studentsteacherlove
#share #teaching
…see more","""Teaching is not about information. It's about having an honest intellectual relationship with your students"".

Happy to share ❤️😊 memories along with my squad and my Mentees...

#kpr
#kprietians
#kpriet
#mentees
#mentor
#students
#studentsteacherlove
#share #teaching
…see more"
2,"Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Senguthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more","Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Senguthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more"
3,"Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Sengunthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more","Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Sengunthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more"
4,I'm glad to share you all about the events I had attended on KPR FIESTA!! #share #events #mcet #kpriet #iot #agileframework #selflearning #exposure,I'm glad to share you all about the events I had attended on KPR FIESTA!! #share #events #mcet #kpriet #iot #agileframework #selflearning #exposure
5,"""I'm Not a Teacher,but An Awakener.""
Driven a 90 Minutes Session on ""How To Make Your Linkedin Profile Standout!"" On 15th of October 2022.

Being an Active User In LinkedIn For the Past 8 Months,I Have Made Plenty Of Mistakes;while Uploading a post and in maintaining the dashboard and I took a Deep look in the mistakes made by me and learnt,not to Repeat it again!.When I Came to Know that 3/4 of my Fellow Classmates aren't Using LinkedIn and Unaware Of The LinkedIn Platform,it Urged me To Took the Initiative and Stepped Up as A Resource Person and Instructed My Classmates Not to Repeat the Mistakes which I've done Earlier and Guided Them the ways to Write Content for their posts and Assisted them in Creating LinkedIn Accounts.

The Session was Way More interesting than the way i Expected as my Fellow Classmates were keen on Asking Questions To me.At The End of The Session:Received Feedbacks From them,Which made Me To Smile for quite a long time.I Thank Mr.SARAVANAN B K For accepting My Proposal and Granting Permission to Handle This Session.

#linkedin #mistakes #content #awakening
#kpriet #learnbeyond #mechanicalengineering
#ikigai #october2022 #2022 #smile
…see more","""I'm Not a Teacher,but An Awakener.""
Driven a 90 Minutes Session on ""How To Make Your Linkedin Profile Standout!"" On 15th of October 2022.

Being an Active User In LinkedIn For the Past 8 Months,I Have Made Plenty Of Mistakes;while Uploading a post and in maintaining the dashboard and I took a Deep look in the mistakes made by me and learnt,not to Repeat it again!.When I Came to Know that 3/4 of my Fellow Classmates aren't Using LinkedIn and Unaware Of The LinkedIn Platform,it Urged me To Took the Initiative and Stepped Up as A Resource Person and Instructed My Classmates Not to Repeat the Mistakes which I've done Earlier and Guided Them the ways to Write Content for their posts and Assisted them in Creating LinkedIn Accounts.

The Session was Way More interesting than the way i Expected as my Fellow Classmates were keen on Asking Questions To me.At The End of The Session:Received Feedbacks From them,Which made Me To Smile for quite a long time.I Thank Mr.SARAVANAN B K For accepting My Proposal and Granting Permission to Handle This Session.

#linkedin #mistakes #content #awakening
#kpriet #learnbeyond #mechanicalengineering
#ikigai #october2022 #2022 #smile
…see more"
6,"It's Birthday celebration at GOETHE ZENTRUM, Coimbatore, KPRIET Centre for Foreign Languages was invited and KPRIETians attended a Session on Significance of German and Opportunities in Germany. Fortunate to have an interaction with Mr. ARMIN ALAGIC MUELLER, Associate Director of the centre, followed by activities and quiz
#kpriet #opportunities #cfl
…see more","It's Birthday celebration at GOETHE ZENTRUM, Coimbatore, KPRIET Centre for Foreign Languages was invited and KPRIETians attended a Session on Significance of German and Opportunities in Germany. Fortunate to have an interaction with Mr. ARMIN ALAGIC MUELLER, Associate Director of the centre, followed by activities and quiz
#kpriet #opportunities #cfl
…see more"
7,"Why people hesitate to opt Civil Engineering course nowadays???
The Civil Engineering graduates are jobless is the answer.
Is this true??
Not at all. Even in this pandemic situation there are lots of vacancies for Civil Engineer Job.
Then where does the pblm arise?
It is in the mind of people. We always believe what we hear.
If we analyse before we believe,we can determine the truth.
The truth is ,the mindset of the people should be changed.
Civil Engineering is an evergreen field where varieties of jobs are available. The students are free to choose the field that suits them the best.
If a student studies well during the course of study and if the student gains more practical knowledge during the four years of the course and if the student is willing to take up the job with full positive mindset and if the student is able to manage and copeup with the timings during his/her work then the student will definitely be a successful Civil Engineer.
This is the only field that gives life to non-living materials like building, bridge,dams etc.
The only field that makes many entrepreneurs is Civil Engineering.
Rather than sitting in AC Room and working,it gives a heartfelt satisfaction when you create a AC Room for others to sit and work. This can be felt only by a Civil Engineer.
If you change your mindset and if you learn more and practice more you can become a successful Civil Engineer/Entrepreneur.
Civil Engineers create footprint wherever they go.The buildings that we construct are our Pride.Be proud to be a Civil Engineer.
A successful path is approaching you,be ready to travel in it with full of enthusiasm.
#civilengineeringstudent #civilengineeringlife #civilengineer #kpriet #kprcivil #job #entrepreneurs
…see more","Why people hesitate to opt Civil Engineering course nowadays???
The Civil Engineering graduates are jobless is the answer.
Is this true??
Not at all. Even in this pandemic situation there are lots of vacancies for Civil Engineer Job.
Then where does the pblm arise?
It is in the mind of people. We always believe what we hear.
If we analyse before we believe,we can determine the truth.
The truth is ,the mindset of the people should be changed.
Civil Engineering is an evergreen field where varieties of jobs are available. The students are free to choose the field that suits them the best.
If a student studies well during the course of study and if the student gains more practical knowledge during the four years of the course and if the student is willing to take up the job with full positive mindset and if the student is able to manage and copeup with the timings during his/her work then the student will definitely be a successful Civil Engineer.
This is the only field that gives life to non-living materials like building, bridge,dams etc.
The only field that makes many entrepreneurs is Civil Engineering.
Rather than sitting in AC Room and working,it gives a heartfelt satisfaction when you create a AC Room for others to sit and work. This can be felt only by a Civil Engineer.
If you change your mindset and if you learn more and practice more you can become a successful Civil Engineer/Entrepreneur.
Civil Engineers create footprint wherever they go.The buildings that we construct are our Pride.Be proud to be a Civil Engineer.
A successful path is approaching you,be ready to travel in it with full of enthusiasm.
#civilengineeringstudent #civilengineeringlife #civilengineer #kpriet #kprcivil #job #entrepreneurs
…see more"
8,"I started from not having a clue about programming to finally getting selected for India's biggest hackathon SMART INDIA HACKATHON 2022.

The dream team TheRookies! From Inaugurating the Event to Closing the Ceremony with a Successful Win
It has been an amazing experience, from choosing the problem statement to working nonstop to ultimately being chosen and winning it. Thanks to the fantastic and diligent team I had.
A special thanks to the best mentor Akhil Thakkar ever for supporting and guiding us through the journey. It was a pleasure to have you with us.

Jaimit Panchal
Saurabh Pandey
Abhinav Pandey
Vaibhav Pachpute
Shahima Firoz Khan

#team #sih2022 #sih #winning #winner #india #programming #development #hackathon #therookies #kpriet #PM_ModiAtSIH #students #environment #experience #innovation #smartindiahackathon2022 #team
…see more","I started from not having a clue about programming to finally getting selected for India's biggest hackathon SMART INDIA HACKATHON 2022.

The dream team TheRookies! From Inaugurating the Event to Closing the Ceremony with a Successful Win
It has been an amazing experience, from choosing the problem statement to working nonstop to ultimately being chosen and winning it. Thanks to the fantastic and diligent team I had.
A special thanks to the best mentor Akhil Thakkar ever for supporting and guiding us through the journey. It was a pleasure to have you with us.

Jaimit Panchal
Saurabh Pandey
Abhinav Pandey
Vaibhav Pachpute
Shahima Firoz Khan

#team #sih2022 #sih #winning #winner #india #programming #development #hackathon #therookies #kpriet #PM_ModiAtSIH #students #environment #experience #innovation #smartindiahackathon2022 #team
…see more"
9,"Hello everyone,

Starting with printing patterns in c++ with print statements to winning the Smart India Hackathon 2022, what an incredible journey.

I would like to thank our Mentor Akhil Thakkar for guiding and helping us in every phase of this journey.

And also our team without which it wouldn't be possible to win.
Saurabh Pandey
JANAVI PANCHAL
Abhinav Pandey
Vaibhav Pachpute
Shahima Firoz Khan

#sih2022 #teamRookies #aicte
#india #coimbatore #kpriet #sih #therookies
…see more","Hello everyone,

Starting with printing patterns in c++ with print statements to winning the Smart India Hackathon 2022, what an incredible journey.

I would like to thank our Mentor Akhil Thakkar for guiding and helping us in every phase of this journey.

And also our team without which it wouldn't be possible to win.
Saurabh Pandey
JANAVI PANCHAL
Abhinav Pandey
Vaibhav Pachpute
Shahima Firoz Khan

#sih2022 #teamRookies #aicte
#india #coimbatore #kpriet #sih #therookies
…see more"
